hit_id,hit_date,geo_country,user_id,user_agent,pagename
4617981090810190000,2023-11-28,usa,JbMwVUUHAw9j9bNpnPVZuA==,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1",fedex/trackdetailspage
4617812223416950000,2023-11-28,usa,xA1ZehCkHpfxu8IuGAEQqQ==,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1",fedex/apps/wtrk/detailedtracking
4617858021206470000,2023-11-28,usa,lOheWbyYADN92dQXOq86Eg==,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Safari/605.1.15",fedex/local/en/search
4617808119582310000,2023-11-28,usa,L4j/C1dc7sKIGLmsYjjQ9g==,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/297.0.594082364 Mobile/15E148 Safari/604.1",fedex/apps/wreg/login-details
4617896424689490000,2023-11-28,usa,C6OtFqih/IoFdsnKdJ68wg==,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1",fedex/trackdetailspage
4617880646239840000,2023-11-28,usa,OoGFdSonYTCOM+AJFJQC8A==,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",ncc/schedule
4617804092848440000,2023-11-28,usa,lOH940rgiKUCSAppBTEzHg==,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",fedex/apps/wtrk/detailedtracking
4617906460441760000,2023-11-28,usa,O6uEi92wrOAX2OteE9d2+A==,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",fedex/apps/wtrk/detailedtracking
4617524097739680000,2023-11-28,usa,UEBS+LHAqexVcvPJHtJ3YQ==,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",fedex/apps/fro/requestnewreport
4617816494426000000,2023-11-28,usa,KlRt8sYIF+zZ6EBntHG1FA==,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1",fedex/apps/wpro/contactinformation
